Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
41	right	1	0.655	B2,O2	Exp - Easy 2 & Easy 2	
42	left	0	1.196	O2,b2	Con - Easy 2 & Hard 2	
43	right	1	0.640	B2,O2	Exp - Easy 2 & Easy 2	
44	left	1	1.171	O2,o2	Exp - Easy 2 & Hard 2	
45	right	1	0.655	O1,b1	Con - Easy 1 & Hard 1	
46	right	1	0.657	b2,O2	Con - Hard 2 & Easy 2	
47	right	1	0.777	O2,b2	Con - Easy 2 & Hard 2	
48	right	1	0.572	B1,O1	Exp - Easy 1 & Easy 1	
49	left	1	0.777	O1,o1	Con - Easy 1 & Hard 1	
50	right	0	1.158	o2,o2	Exp - Hard 2 & Hard 2	
51	left	1	0.740	O1,O1	Exp - Easy 1 & Easy 1	
52	right	0	0.864	o2,o2	Exp - Hard 2 & Hard 2	
53	left	1	0.855	O1,o1	Con - Easy 1 & Hard 1	
54	right	1	1.091	b2,O2	Con - Hard 2 & Easy 2	
55	left	1	0.824	O1,o1	Con - Easy 1 & Hard 1	
56	left	1	0.624	O2,O2	Exp - Easy 2 & Easy 2	
57	left	1	1.039	o1,O1	Con - Hard 1 & Easy 1	
58	left	1	1.075	O2,o2	Exp - Easy 2 & Hard 2	
59	left	1	1.417	o1,O1	Con - Hard 1 & Easy 1	
60	left	1	3.658	o2,O2	Con - Hard 2 & Easy 2	
61	right	1	0.873	b2,O2	Con - Hard 2 & Easy 2	
62	right	1	0.906	b1,o1	Exp - Hard 1 & Hard 1	
63	right	1	0.573	b1,o1	Exp - Hard 1 & Hard 1	
64	left	1	0.921	O1,o1	Con - Easy 1 & Hard 1	
65	right	1	0.802	O1,b1	Con - Easy 1 & Hard 1	
66	right	1	0.673	b2,o2	Exp - Hard 2 & Hard 2	
67	right	1	0.573	b2,o2	Exp - Hard 2 & Hard 2	
68	right	0	0.741	o2,O2	Con - Hard 2 & Easy 2	
69	left	1	0.540	O1,O1	Exp - Easy 1 & Easy 1	
70	left	1	0.819	O1,o1	Con - Easy 1 & Hard 1	
71	right	1	0.622	B2,O2	Exp - Easy 2 & Easy 2	
72	right	1	0.839	b1,O1	Con - Hard 1 & Easy 1	
73	right	0	0.721	o2,o2	Exp - Hard 2 & Hard 2	
74	right	1	0.795	b2,o2	Exp - Hard 2 & Hard 2	
75	right	1	0.610	O1,b1	Con - Easy 1 & Hard 1	
76	left	1	0.789	o1,O1	Con - Hard 1 & Easy 1	
77	right	0	1.107	o1,o1	Exp - Hard 1 & Hard 1	
78	left	1	1.112	o2,O2	Con - Hard 2 & Easy 2	
79	right	1	0.640	b1,o1	Exp - Hard 1 & Hard 1	
80	left	1	1.038	O2,o2	Exp - Easy 2 & Hard 2	
81	right	0	1.222	o1,o1	Exp - Hard 1 & Hard 1	
82	left	1	0.674	O1,O1	Exp - Easy 1 & Easy 1	
83	left	1	0.839	o1,o1	Exp - Hard 1 & Hard 1	
84	right	1	0.642	B2,O2	Exp - Easy 2 & Easy 2	
85	right	1	1.538	B1,O1	Exp - Easy 1 & Easy 1	
86	right	1	0.492	B1,O1	Exp - Easy 1 & Easy 1	
87	right	1	0.723	b1,o1	Exp - Hard 1 & Hard 1	
88	right	1	0.573	B2,O2	Exp - Easy 2 & Easy 2	
89	left	1	0.838	O2,O2	Exp - Easy 2 & Easy 2	
90	right	1	0.657	b1,o1	Exp - Hard 1 & Hard 1	
91	right	0	3.256	o2,O2	Con - Hard 2 & Easy 2	
92	right	1	0.529	b2,o2	Exp - Hard 2 & Hard 2	
93	right	1	0.839	b1,O1	Con - Hard 1 & Easy 1	
94	left	1	0.609	O2,O2	Exp - Easy 2 & Easy 2	
95	right	0	1.447	o1,o1	Exp - Hard 1 & Hard 1	
96	right	1	1.739	O2,b2	Con - Easy 2 & Hard 2	
97	left	1	1.526	o2,O2	Con - Hard 2 & Easy 2	
98	right	1	1.031	b1,O1	Con - Hard 1 & Easy 1	
99	right	1	1.446	b2,O2	Con - Hard 2 & Easy 2	
100	right	0	0.556	o2,o2	Exp - Hard 2 & Hard 2	
101	left	1	2.422	O2,o2	Exp - Easy 2 & Hard 2	
102	left	1	1.575	O1,o1	Con - Easy 1 & Hard 1	
103	right	1	5.139	O2,b2	Con - Easy 2 & Hard 2	
104	left	1	0.738	o2,O2	Con - Hard 2 & Easy 2	
105	right	1	0.740	B2,O2	Exp - Easy 2 & Easy 2	
106	left	1	0.655	O1,o1	Con - Easy 1 & Hard 1	
107	left	1	0.541	O1,O1	Exp - Easy 1 & Easy 1	
108	right	1	0.839	O2,b2	Con - Easy 2 & Hard 2	
109	right	1	0.528	B1,O1	Exp - Easy 1 & Easy 1	
110	right	1	1.756	b2,O2	Con - Hard 2 & Easy 2	
111	left	1	1.030	o1,O1	Con - Hard 1 & Easy 1	
112	right	0	1.111	o2,O2	Con - Hard 2 & Easy 2	
113	right	1	1.039	B2,O2	Exp - Easy 2 & Easy 2	
114	right	1	2.739	b1,o1	Exp - Hard 1 & Hard 1	
115	right	1	1.555	b2,o2	Exp - Hard 2 & Hard 2	
116	right	1	0.625	b1,o1	Exp - Hard 1 & Hard 1	
117	right	1	0.722	O1,b1	Con - Easy 1 & Hard 1	
118	left	0	2.155	b1,O1	Con - Hard 1 & Easy 1	
119	right	1	0.756	B1,O1	Exp - Easy 1 & Easy 1	
120	right	0	1.610	o2,o2	Exp - Hard 2 & Hard 2	
121	left	1	1.505	O2,o2	Exp - Easy 2 & Hard 2	
122	right	1	1.191	b1,O1	Con - Hard 1 & Easy 1	
123	left	1	1.573	O2,o2	Exp - Easy 2 & Hard 2	
124	left	1	0.615	O2,O2	Exp - Easy 2 & Easy 2	
125	right	0	0.989	o1,o1	Exp - Hard 1 & Hard 1	
126	left	1	1.639	O2,o2	Exp - Easy 2 & Hard 2	
127	left	1	0.541	O1,O1	Exp - Easy 1 & Easy 1	
128	left	1	1.043	o1,O1	Con - Hard 1 & Easy 1	
129	left	1	3.196	o1,o1	Exp - Hard 1 & Hard 1	
130	left	1	0.640	o1,O1	Con - Hard 1 & Easy 1	
131	left	1	0.528	O1,O1	Exp - Easy 1 & Easy 1	
132	left	1	1.639	o1,O1	Con - Hard 1 & Easy 1	
133	right	1	0.592	b2,O2	Con - Hard 2 & Easy 2	
134	right	0	2.376	o2,O2	Con - Hard 2 & Easy 2	
135	left	1	0.657	O1,O1	Exp - Easy 1 & Easy 1	
136	right	1	1.241	b1,O1	Con - Hard 1 & Easy 1	
137	left	1	1.256	O1,o1	Con - Easy 1 & Hard 1	
138	right	0	0.757	o2,o2	Exp - Hard 2 & Hard 2	
139	left	1	1.406	o1,o1	Exp - Hard 1 & Hard 1	
140	left	0	0.813	b1,o1	Exp - Hard 1 & Hard 1	
