Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
168	right	1	1.722	o1,b1	Exp - Hard 1 & Hard 1	
169	right	1	2.187	o2,B2	Con - Hard 2 & Easy 2	
170	right	1	0.747	O2,B2	Exp - Easy 2 & Easy 2	
171	left	1	0.749	B1,B1	Exp - Easy 1 & Easy 1	
172	right	1	0.902	o1,B1	Con - Hard 1 & Easy 1	
173	right	1	1.615	B1,o1	Con - Easy 1 & Hard 1	
174	right	1	5.233	o2,b2	Exp - Hard 2 & Hard 2	
175	right	1	1.676	B2,o2	Con - Easy 2 & Hard 2	
176	left	1	5.081	b2,b2	Exp - Hard 2 & Hard 2	
177	left	1	2.919	B2,b2	Con - Easy 2 & Hard 2	
178	right	1	1.281	B2,o2	Con - Easy 2 & Hard 2	
179	left	0	3.918	o1,b1	Exp - Hard 1 & Hard 1	
180	right	1	1.461	B2,o2	Con - Easy 2 & Hard 2	
181	right	1	3.467	o2,B2	Con - Hard 2 & Easy 2	
182	right	1	1.628	o2,B2	Con - Hard 2 & Easy 2	
183	left	1	1.040	b2,B2	Con - Hard 2 & Easy 2	
184	left	1	0.963	b1,b1	Exp - Hard 1 & Hard 1	
185	right	1	1.223	o2,b2	Exp - Hard 2 & Hard 2	
186	right	1	1.641	o1,b1	Exp - Hard 1 & Hard 1	
187	left	0	1.016	B2,o2	Con - Easy 2 & Hard 2	
188	right	1	0.695	O1,B1	Exp - Easy 1 & Easy 1	
189	left	1	0.922	B2,B2	Exp - Easy 2 & Easy 2	
190	left	1	0.931	B1,B1	Exp - Easy 1 & Easy 1	
191	left	1	0.872	b1,B1	Con - Hard 1 & Easy 1	
192	right	0	1.366	b2,b2	Exp - Hard 2 & Hard 2	
193	right	1	1.010	B1,o1	Con - Easy 1 & Hard 1	
194	left	1	1.394	b2,B2	Con - Hard 2 & Easy 2	
195	right	1	2.224	o1,b1	Exp - Hard 1 & Hard 1	
196	right	1	1.508	o1,b1	Exp - Hard 1 & Hard 1	
197	right	1	1.871	o1,B1	Con - Hard 1 & Easy 1	
198	right	1	1.583	o1,b1	Exp - Hard 1 & Hard 1	
199	left	0	1.818	o2,B2	Con - Hard 2 & Easy 2	
200	right	1	1.202	O2,B2	Exp - Easy 2 & Easy 2	
201	left	1	1.350	B2,b2	Con - Easy 2 & Hard 2	
202	right	1	1.247	B1,o1	Con - Easy 1 & Hard 1	
203	left	1	1.051	b2,B2	Con - Hard 2 & Easy 2	
204	left	1	0.940	B1,b1	Con - Easy 1 & Hard 1	
205	left	1	1.830	b2,b2	Exp - Hard 2 & Hard 2	
206	left	0	1.338	B2,o2	Con - Easy 2 & Hard 2	
207	right	1	6.023	B1,o1	Con - Easy 1 & Hard 1	
208	right	1	1.814	B2,o2	Con - Easy 2 & Hard 2	
1	right	1	1.124	B,o	Con - Easy 2	2	
2	left	1	1.045	o,b	Exp - Hard 2	2	
3	left	1	0.867	O,b	Con - Easy 2	2	
4	right	1	2.627	b,o	Exp - Hard 2	2	
5	left	1	0.805	O,b	Con - Easy 1	2	
6	left	1	0.746	O,b	Con - Easy 1	2	
7	right	1	0.999	B,o	Con - Easy 2	2	
8	left	1	0.732	O,b	Con - Easy 2	2	
9	right	1	2.599	b,o	Exp - Hard 1	2	
10	right	1	0.974	b,o	Exp - Hard 1	2	
11	left	1	1.608	O,b	Con - Easy 1	2	
12	left	1	3.935	o,b	Exp - Hard 2	2	
13	right	1	0.926	B,o	Con - Easy 1	2	
14	right	1	4.557	b,o	Exp - Hard 2	2	
15	left	1	0.776	O,b	Con - Easy 2	2	
16	right	1	1.583	b,o	Exp - Hard 2	2	
17	left	1	4.217	o,b	Exp - Hard 2	2	
18	right	1	1.460	b,o	Exp - Hard 1	2	
19	right	0	1.299	o,b	Exp - Hard 1	2	
20	right	1	1.473	b,o	Exp - Hard 1	2	
21	right	1	0.841	B,o	Con - Easy 2	2	
22	right	0	1.023	O,b	Con - Easy 1	2	
23	left	1	1.794	o,b	Exp - Hard 2	2	
