Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
27	left	1	0.743	b,o	Exp - Hard 1	1	
28	left	1	0.625	B,o	Con - Easy 2	1	
29	right	1	1.052	o,b	Exp - Hard 1	1	
30	right	1	1.010	O,b	Con - Easy 1	1	
31	right	1	0.858	O,b	Con - Easy 1	1	
32	right	1	0.952	O,b	Con - Easy 1	1	
33	right	1	0.843	o,b	Exp - Hard 2	1	
34	right	1	0.838	o,b	Exp - Hard 1	1	
35	left	1	0.827	B,o	Con - Easy 2	1	
36	right	1	1.199	o,b	Exp - Hard 1	1	
37	left	1	1.117	b,o	Exp - Hard 1	1	
38	left	1	0.829	B,o	Con - Easy 2	1	
39	left	0	1.804	o,b	Exp - Hard 1	1	
40	left	1	0.725	B,o	Con - Easy 1	1	
1	left	0	2.960	O2,B2	Exp - Easy 2 & Easy 2	
2	left	1	2.756	O1,B1	Exp - Easy 1 & Easy 1	
3	right	1	1.593	B2,o2	Con - Easy 2 & Hard 2	
4	left	1	2.185	b1,b1	Exp - Hard 1 & Hard 1	
5	left	0	1.066	B2,B2	Exp - Easy 2 & Easy 2	
6	left	1	0.923	B1,B1	Exp - Easy 1 & Easy 1	
7	left	1	1.420	b2,b2	Exp - Hard 2 & Hard 2	
8	right	1	1.484	o1,B1	Con - Hard 1 & Easy 1	
9	left	0	1.920	O2,B2	Exp - Easy 2 & Easy 2	
10	left	0	2.085	o2,b2	Exp - Hard 2 & Hard 2	
11	left	0	0.801	B2,B2	Exp - Easy 2 & Easy 2	
12	left	1	0.924	b2,B2	Con - Hard 2 & Easy 2	
13	left	1	1.149	b1,B1	Con - Hard 1 & Easy 1	
14	left	1	1.063	b2,B2	Con - Hard 2 & Easy 2	
15	left	1	1.069	b1,B1	Con - Hard 1 & Easy 1	
16	left	1	1.046	b2,B2	Con - Hard 2 & Easy 2	
17	left	1	1.350	b1,B1	Con - Hard 1 & Easy 1	
18	left	1	0.885	B1,B1	Exp - Easy 1 & Easy 1	
19	right	1	1.426	B2,o2	Con - Easy 2 & Hard 2	
20	left	1	1.985	B1,b1	Con - Easy 1 & Hard 1	
21	right	0	1.314	b2,b2	Exp - Hard 2 & Hard 2	
22	left	1	1.360	b1,b1	Exp - Hard 1 & Hard 1	
23	right	1	0.953	o2,b2	Exp - Hard 2 & Hard 2	
24	right	0	0.941	b2,b2	Exp - Hard 2 & Hard 2	
25	right	0	0.839	B2,b2	Con - Easy 2 & Hard 2	
26	left	0	1.165	O2,B2	Exp - Easy 2 & Easy 2	
27	right	0	1.092	b1,b1	Exp - Hard 1 & Hard 1	
28	right	1	1.532	O1,B1	Exp - Easy 1 & Easy 1	
29	left	0	0.964	o1,B1	Con - Hard 1 & Easy 1	
30	left	0	1.064	o2,B2	Con - Hard 2 & Easy 2	
31	left	1	0.664	B1,b1	Con - Easy 1 & Hard 1	
32	left	1	0.756	B1,B1	Exp - Easy 1 & Easy 1	
33	left	1	0.877	b1,b1	Exp - Hard 1 & Hard 1	
34	right	1	1.092	B1,o1	Con - Easy 1 & Hard 1	
35	right	1	1.333	B1,o1	Con - Easy 1 & Hard 1	
36	right	1	1.006	B2,o2	Con - Easy 2 & Hard 2	
37	right	1	1.119	o2,B2	Con - Hard 2 & Easy 2	
38	right	1	1.262	O2,B2	Exp - Easy 2 & Easy 2	
39	right	0	1.132	B2,b2	Con - Easy 2 & Hard 2	
40	right	0	1.082	b2,b2	Exp - Hard 2 & Hard 2	
41	left	1	1.283	b1,B1	Con - Hard 1 & Easy 1	
42	left	1	0.899	B1,B1	Exp - Easy 1 & Easy 1	
43	right	1	1.750	o1,b1	Exp - Hard 1 & Hard 1	
44	left	0	1.197	o1,B1	Con - Hard 1 & Easy 1	
45	left	1	1.016	b1,b1	Exp - Hard 1 & Hard 1	
46	right	0	1.369	B2,b2	Con - Easy 2 & Hard 2	
47	right	1	1.248	o1,B1	Con - Hard 1 & Easy 1	
48	right	1	1.046	o2,B2	Con - Hard 2 & Easy 2	
49	right	1	1.145	B2,o2	Con - Easy 2 & Hard 2	
