Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
64	right	1	0.868	B2,O2	Exp - Easy 2 & Easy 2	
65	right	0	2.117	o2,o2	Exp - Hard 2 & Hard 2	
66	left	1	0.795	O1,O1	Exp - Easy 1 & Easy 1	
67	right	1	1.600	b2,o2	Exp - Hard 2 & Hard 2	
68	left	1	0.746	O1,O1	Exp - Easy 1 & Easy 1	
69	left	0	1.129	b2,O2	Con - Hard 2 & Easy 2	
70	right	1	1.523	B1,O1	Exp - Easy 1 & Easy 1	
71	right	1	0.999	B1,O1	Exp - Easy 1 & Easy 1	
72	right	1	0.736	B1,O1	Exp - Easy 1 & Easy 1	
73	right	1	0.577	B1,O1	Exp - Easy 1 & Easy 1	
74	left	1	0.816	O1,O1	Exp - Easy 1 & Easy 1	
75	right	0	4.338	o2,o2	Exp - Hard 2 & Hard 2	
76	right	1	0.874	b1,o1	Exp - Hard 1 & Hard 1	
77	right	1	0.665	b2,o2	Exp - Hard 2 & Hard 2	
78	left	0	0.934	B2,O2	Exp - Easy 2 & Easy 2	
79	right	1	5.761	b1,o1	Exp - Hard 1 & Hard 1	
80	left	1	0.877	o1,O1	Con - Hard 1 & Easy 1	
81	right	0	1.759	o2,o2	Exp - Hard 2 & Hard 2	
82	left	1	1.911	O2,o2	Exp - Easy 2 & Hard 2	
83	left	1	0.626	O2,O2	Exp - Easy 2 & Easy 2	
84	left	1	1.291	o2,o2	Exp - Hard 2 & Hard 2	
85	left	1	0.974	o1,O1	Con - Hard 1 & Easy 1	
86	right	1	7.007	b2,o2	Exp - Hard 2 & Hard 2	
87	left	0	0.834	b1,O1	Con - Hard 1 & Easy 1	
88	left	1	1.177	o2,O2	Con - Hard 2 & Easy 2	
89	left	1	1.237	O2,o2	Exp - Easy 2 & Hard 2	
90	left	1	0.737	O1,O1	Exp - Easy 1 & Easy 1	
91	right	1	3.219	b1,O1	Con - Hard 1 & Easy 1	
92	right	1	4.266	O2,b2	Con - Easy 2 & Hard 2	
93	left	1	2.166	o1,o1	Exp - Hard 1 & Hard 1	
94	left	0	0.675	b1,O1	Con - Hard 1 & Easy 1	
95	right	0	4.232	o1,o1	Exp - Hard 1 & Hard 1	
96	right	1	5.564	B1,O1	Exp - Easy 1 & Easy 1	
97	right	1	1.301	b1,o1	Exp - Hard 1 & Hard 1	
98	left	0	0.790	B1,O1	Exp - Easy 1 & Easy 1	
99	left	1	0.832	o1,O1	Con - Hard 1 & Easy 1	
100	left	0	0.790	b1,O1	Con - Hard 1 & Easy 1	
101	left	1	1.445	O2,o2	Exp - Easy 2 & Hard 2	
102	left	1	0.917	O1,O1	Exp - Easy 1 & Easy 1	
103	right	1	6.579	b2,o2	Exp - Hard 2 & Hard 2	
104	right	1	1.594	B1,O1	Exp - Easy 1 & Easy 1	
