Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
151	right	0	5.756	b1,B1	Con - Hard 1 & Easy 1	
152	right	1	1.650	o2,B2	Con - Hard 2 & Easy 2	
153	right	1	1.861	o2,b2	Exp - Hard 2 & Hard 2	
154	right	1	1.388	o1,B1	Con - Hard 1 & Easy 1	
155	right	1	1.171	O1,B1	Exp - Easy 1 & Easy 1	
156	right	1	1.231	B1,o1	Con - Easy 1 & Hard 1	
157	right	0	1.031	b1,b1	Exp - Hard 1 & Hard 1	
158	right	1	1.214	o1,B1	Con - Hard 1 & Easy 1	
159	left	1	2.913	B2,b2	Con - Easy 2 & Hard 2	
160	right	0	1.332	B2,b2	Con - Easy 2 & Hard 2	
161	right	1	2.624	B2,o2	Con - Easy 2 & Hard 2	
162	right	1	1.053	B1,o1	Con - Easy 1 & Hard 1	
163	right	0	2.007	B2,B2	Exp - Easy 2 & Easy 2	
164	left	1	2.770	b2,B2	Con - Hard 2 & Easy 2	
165	left	1	3.619	b2,b2	Exp - Hard 2 & Hard 2	
166	right	1	1.751	o1,B1	Con - Hard 1 & Easy 1	
167	right	1	1.299	o2,b2	Exp - Hard 2 & Hard 2	
168	right	1	1.520	o1,b1	Exp - Hard 1 & Hard 1	
169	right	1	1.523	B1,o1	Con - Easy 1 & Hard 1	
170	right	1	1.416	O2,B2	Exp - Easy 2 & Easy 2	
171	left	1	1.995	B2,B2	Exp - Easy 2 & Easy 2	
172	left	0	1.195	B2,o2	Con - Easy 2 & Hard 2	
173	right	1	2.127	O2,B2	Exp - Easy 2 & Easy 2	
174	left	1	1.507	b2,b2	Exp - Hard 2 & Hard 2	
175	right	1	2.001	o1,b1	Exp - Hard 1 & Hard 1	
176	right	1	1.574	B2,o2	Con - Easy 2 & Hard 2	
177	left	1	4.376	b2,B2	Con - Hard 2 & Easy 2	
178	right	1	0.745	O1,B1	Exp - Easy 1 & Easy 1	
179	left	1	1.207	b1,b1	Exp - Hard 1 & Hard 1	
180	left	0	0.948	B2,o2	Con - Easy 2 & Hard 2	
181	right	1	1.213	o1,b1	Exp - Hard 1 & Hard 1	
182	left	1	1.380	B2,B2	Exp - Easy 2 & Easy 2	
183	left	1	1.275	B2,B2	Exp - Easy 2 & Easy 2	
184	right	1	1.252	B2,o2	Con - Easy 2 & Hard 2	
185	right	1	1.001	o2,B2	Con - Hard 2 & Easy 2	
186	right	0	2.449	b2,b2	Exp - Hard 2 & Hard 2	
187	right	0	1.340	b1,b1	Exp - Hard 1 & Hard 1	
188	right	0	2.125	b1,B1	Con - Hard 1 & Easy 1	
189	left	1	1.401	B1,B1	Exp - Easy 1 & Easy 1	
190	left	1	4.097	b2,b2	Exp - Hard 2 & Hard 2	
191	right	1	1.878	o2,B2	Con - Hard 2 & Easy 2	
192	right	1	1.646	B1,o1	Con - Easy 1 & Hard 1	
193	right	0	2.034	b2,b2	Exp - Hard 2 & Hard 2	
194	left	1	1.784	B2,B2	Exp - Easy 2 & Easy 2	
195	right	0	1.676	b2,B2	Con - Hard 2 & Easy 2	
196	right	1	0.937	O2,B2	Exp - Easy 2 & Easy 2	
197	right	0	1.510	B1,b1	Con - Easy 1 & Hard 1	
198	right	1	0.836	O1,B1	Exp - Easy 1 & Easy 1	
199	right	0	2.352	b2,b2	Exp - Hard 2 & Hard 2	
200	right	0	1.918	B1,b1	Con - Easy 1 & Hard 1	
201	right	0	5.792	b1,b1	Exp - Hard 1 & Hard 1	
202	left	1	1.852	b2,B2	Con - Hard 2 & Easy 2	
203	right	1	1.261	B1,o1	Con - Easy 1 & Hard 1	
204	left	1	4.169	b1,b1	Exp - Hard 1 & Hard 1	
205	right	1	1.586	o1,B1	Con - Hard 1 & Easy 1	
206	right	0	2.614	b2,B2	Con - Hard 2 & Easy 2	
207	right	1	0.775	O2,B2	Exp - Easy 2 & Easy 2	
208	right	1	2.197	o1,b1	Exp - Hard 1 & Hard 1	
1	left	1	1.035	O,b	Con - Easy 2	2	
2	right	1	0.811	B,o	Con - Easy 1	2	
3	right	0	0.730	O,b	Con - Easy 2	2	
4	right	1	1.263	B,o	Con - Easy 1	2	
5	right	1	1.833	b,o	Exp - Hard 2	2	
6	left	1	0.640	O,b	Con - Easy 1	2	
7	left	1	1.887	o,b	Exp - Hard 2	2	
8	left	1	0.660	O,b	Con - Easy 1	2	
9	left	1	1.708	o,b	Exp - Hard 1	2	
10	left	1	0.678	O,b	Con - Easy 1	2	
11	left	1	0.959	o,b	Exp - Hard 1	2	
12	left	1	0.696	O,b	Con - Easy 2	2	
13	left	1	2.446	o,b	Exp - Hard 2	2	
14	right	1	0.924	b,o	Exp - Hard 2	2	
15	left	1	0.777	O,b	Con - Easy 2	2	
16	right	1	1.632	B,o	Con - Easy 1	2	
17	left	1	2.115	o,b	Exp - Hard 1	2	
18	right	0	2.745	o,b	Exp - Hard 1	2	
19	right	1	1.080	B,o	Con - Easy 2	2	
20	left	1	6.485	o,b	Exp - Hard 2	2	
21	left	1	0.947	O,b	Con - Easy 1	2	
22	right	1	0.979	B,o	Con - Easy 1	2	
23	right	1	0.862	b,o	Exp - Hard 2	2	
24	right	1	0.782	b,o	Exp - Hard 2	2	
25	right	1	0.585	B,o	Con - Easy 2	2	
26	right	1	1.874	b,o	Exp - Hard 1	2	
27	right	1	0.729	B,o	Con - Easy 1	2	
28	right	1	2.162	b,o	Exp - Hard 1	2	
29	left	1	1.337	o,b	Exp - Hard 2	2	
30	right	1	3.707	b,o	Exp - Hard 1	2	
31	right	1	0.764	B,o	Con - Easy 2	2	
32	left	0	2.146	b,o	Exp - Hard 2	2	
33	left	1	0.995	o,b	Exp - Hard 1	2	
34	left	1	0.910	o,b	Exp - Hard 2	2	
