Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
196	left	0	1.739	b2,O2	Con - Hard 2 & Easy 2	
197	left	1	0.638	O2,O2	Exp - Easy 2 & Easy 2	
198	left	1	0.922	o1,O1	Con - Hard 1 & Easy 1	
199	right	1	0.738	b1,O1	Con - Hard 1 & Easy 1	
200	left	1	0.569	O1,O1	Exp - Easy 1 & Easy 1	
201	left	1	2.277	O1,o1	Con - Easy 1 & Hard 1	
202	left	0	1.873	O1,b1	Con - Easy 1 & Hard 1	
203	left	1	0.610	o1,o1	Exp - Hard 1 & Hard 1	
204	left	1	0.528	O1,O1	Exp - Easy 1 & Easy 1	
205	left	1	0.488	O1,O1	Exp - Easy 1 & Easy 1	
206	right	0	0.623	o1,o1	Exp - Hard 1 & Hard 1	
207	right	1	0.955	O2,b2	Con - Easy 2 & Hard 2	
208	right	0	0.723	O2,o2	Exp - Easy 2 & Hard 2	
1	right	1	0.608	O,b	Con - Easy 2	1	
2	left	1	0.632	b,o	Exp - Hard 2	1	
3	left	1	0.407	B,o	Con - Easy 1	1	
4	right	1	0.471	O,b	Con - Easy 2	1	
5	left	1	0.389	b,o	Exp - Hard 2	1	
6	left	0	0.703	o,b	Exp - Hard 2	1	
7	left	0	0.425	o,b	Exp - Hard 2	1	
8	left	1	0.504	b,o	Exp - Hard 2	1	
9	left	1	0.656	b,o	Exp - Hard 1	1	
10	left	1	0.423	B,o	Con - Easy 2	1	
11	right	1	0.593	O,b	Con - Easy 2	1	
12	right	1	0.424	O,b	Con - Easy 1	1	
13	left	1	0.390	B,o	Con - Easy 1	1	
14	left	0	0.556	o,b	Exp - Hard 1	1	
15	left	1	0.424	b,o	Exp - Hard 2	1	
16	left	1	0.341	B,o	Con - Easy 2	1	
17	left	1	0.472	b,o	Exp - Hard 1	1	
18	right	1	0.522	O,b	Con - Easy 1	1	
19	right	1	0.457	O,b	Con - Easy 1	1	
20	left	0	0.756	o,b	Exp - Hard 2	1	
21	left	1	0.523	b,o	Exp - Hard 1	1	
22	right	1	0.510	O,b	Con - Easy 2	1	
23	left	1	0.624	B,o	Con - Easy 2	1	
24	left	1	0.351	B,o	Con - Easy 2	1	
25	right	1	0.806	o,b	Exp - Hard 2	1	
26	right	1	0.406	O,b	Con - Easy 1	1	
27	left	1	0.385	B,o	Con - Easy 1	1	
28	left	0	0.384	o,b	Exp - Hard 1	1	
29	left	0	0.970	o,b	Exp - Hard 1	1	
30	left	0	1.658	o,b	Exp - Hard 1	1	
31	left	1	0.389	B,o	Con - Easy 2	1	
32	right	1	0.537	O,b	Con - Easy 1	1	
33	left	1	0.425	B,o	Con - Easy 1	1	
34	left	0	1.222	o,b	Exp - Hard 2	1	
35	left	1	0.489	B,o	Con - Easy 1	1	
36	left	0	1.404	o,b	Exp - Hard 1	1	
37	left	1	0.890	b,o	Exp - Hard 1	1	
38	left	1	0.471	b,o	Exp - Hard 2	1	
39	right	1	0.522	O,b	Con - Easy 2	1	
40	left	1	0.622	b,o	Exp - Hard 1	1	
1	left	1	1.429	b2,b2	Exp - Hard 2 & Hard 2	
2	left	0	3.090	B2,o2	Con - Easy 2 & Hard 2	
3	left	1	0.721	B2,b2	Con - Easy 2 & Hard 2	
4	left	1	0.540	B2,B2	Exp - Easy 2 & Easy 2	
5	left	1	0.609	B1,B1	Exp - Easy 1 & Easy 1	
6	right	1	1.694	o1,B1	Con - Hard 1 & Easy 1	
7	left	0	1.054	B1,o1	Con - Easy 1 & Hard 1	
8	left	1	1.489	b2,B2	Con - Hard 2 & Easy 2	
9	right	1	1.654	o2,b2	Exp - Hard 2 & Hard 2	
10	left	1	0.589	B2,b2	Con - Easy 2 & Hard 2	
11	left	1	2.254	B1,b1	Con - Easy 1 & Hard 1	
12	left	1	1.657	B1,b1	Con - Easy 1 & Hard 1	
13	left	1	0.971	B1,b1	Con - Easy 1 & Hard 1	
14	right	0	1.740	b2,b2	Exp - Hard 2 & Hard 2	
15	left	1	1.123	b2,B2	Con - Hard 2 & Easy 2	
16	left	1	4.111	b2,b2	Exp - Hard 2 & Hard 2	
17	left	1	0.862	b2,B2	Con - Hard 2 & Easy 2	
18	left	1	0.672	B2,b2	Con - Easy 2 & Hard 2	
19	right	1	1.026	O1,B1	Exp - Easy 1 & Easy 1	
20	left	0	1.055	o2,b2	Exp - Hard 2 & Hard 2	
21	left	0	0.555	o2,b2	Exp - Hard 2 & Hard 2	
22	left	0	0.922	o2,B2	Con - Hard 2 & Easy 2	
23	left	1	0.634	b1,B1	Con - Hard 1 & Easy 1	
24	right	1	1.390	o2,b2	Exp - Hard 2 & Hard 2	
25	left	0	0.805	o2,B2	Con - Hard 2 & Easy 2	
26	right	1	4.306	o1,b1	Exp - Hard 1 & Hard 1	
27	left	1	0.855	b2,B2	Con - Hard 2 & Easy 2	
28	left	1	3.236	b2,B2	Con - Hard 2 & Easy 2	
29	left	1	0.529	B1,b1	Con - Easy 1 & Hard 1	
30	left	1	0.859	B2,b2	Con - Easy 2 & Hard 2	
31	left	1	0.610	B2,B2	Exp - Easy 2 & Easy 2	
32	left	1	0.638	B1,B1	Exp - Easy 1 & Easy 1	
33	right	1	0.906	O1,B1	Exp - Easy 1 & Easy 1	
34	left	1	1.306	B2,B2	Exp - Easy 2 & Easy 2	
35	left	0	1.421	o2,B2	Con - Hard 2 & Easy 2	
36	right	1	2.135	o2,B2	Con - Hard 2 & Easy 2	
37	right	1	0.724	o1,B1	Con - Hard 1 & Easy 1	
38	left	1	1.072	B1,b1	Con - Easy 1 & Hard 1	
39	left	1	0.538	B1,b1	Con - Easy 1 & Hard 1	
40	left	1	2.674	b1,B1	Con - Hard 1 & Easy 1	
41	left	1	1.590	b2,b2	Exp - Hard 2 & Hard 2	
42	right	1	1.056	O2,B2	Exp - Easy 2 & Easy 2	
43	right	1	2.657	B1,o1	Con - Easy 1 & Hard 1	
44	right	1	0.556	O2,B2	Exp - Easy 2 & Easy 2	
45	left	1	0.609	b1,B1	Con - Hard 1 & Easy 1	
46	left	1	0.554	B1,B1	Exp - Easy 1 & Easy 1	
47	left	1	5.526	b1,B1	Con - Hard 1 & Easy 1	
48	right	1	1.339	o1,B1	Con - Hard 1 & Easy 1	
49	left	1	1.540	B2,b2	Con - Easy 2 & Hard 2	
50	right	1	0.622	O2,B2	Exp - Easy 2 & Easy 2	
51	right	1	1.173	o1,b1	Exp - Hard 1 & Hard 1	
52	left	1	0.838	B1,b1	Con - Easy 1 & Hard 1	
53	left	1	0.789	b1,b1	Exp - Hard 1 & Hard 1	
