Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	right	1	0.183	O1,O1	Exp - Easy 1 & Easy 1	
2	left	0	0.071	O1,O1	Exp - Easy 1 & Easy 1	
3	left	0	0.122	b1,O1	Con - Hard 1 & Easy 1	
4	right	0	0.055	O2,b2	Con - Easy 2 & Hard 2	
5	right	0	0.108	b1,O1	Con - Hard 1 & Easy 1	
6	left	0	0.153	B1,O1	Exp - Easy 1 & Easy 1	
7	right	1	0.120	b1,o1	Exp - Hard 1 & Hard 1	
8	left	0	0.070	o2,O2	Con - Hard 2 & Easy 2	
9	right	1	0.037	o1,o1	Exp - Hard 1 & Hard 1	
10	left	0	0.256	O2,o2	Exp - Easy 2 & Hard 2	
11	right	0	0.154	o2,o2	Exp - Hard 2 & Hard 2	
12	left	0	0.090	b2,O2	Con - Hard 2 & Easy 2	
13	right	0	0.174	O2,O2	Exp - Easy 2 & Easy 2	
14	left	1	0.287	o2,o2	Exp - Hard 2 & Hard 2	
15	right	0	0.871	b2,o2	Exp - Hard 2 & Hard 2	
16	left	0	0.038	o1,O1	Con - Hard 1 & Easy 1	
17	left	0	0.020	o1,o1	Exp - Hard 1 & Hard 1	
18	right	0	0.137	b1,O1	Con - Hard 1 & Easy 1	
19	left	1	0.088	B2,O2	Exp - Easy 2 & Easy 2	
20	right	0	0.014	O2,b2	Con - Easy 2 & Hard 2	
21	left	1	0.186	b2,o2	Exp - Hard 2 & Hard 2	
22	right	0	0.437	o2,O2	Con - Hard 2 & Easy 2	
23	left	1	0.121	b2,o2	Exp - Hard 2 & Hard 2	
24	right	0	0.174	O2,b2	Con - Easy 2 & Hard 2	
25	right	1	0.204	O1,O1	Exp - Easy 1 & Easy 1	
26	left	1	0.071	o2,o2	Exp - Hard 2 & Hard 2	
27	right	1	0.254	B1,O1	Exp - Easy 1 & Easy 1	
28	left	1	0.173	b2,o2	Exp - Hard 2 & Hard 2	
29	right	0	0.071	b1,O1	Con - Hard 1 & Easy 1	
30	left	0	0.038	O2,b2	Con - Easy 2 & Hard 2	
31	left	0	0.440	O1,b1	Con - Easy 1 & Hard 1	
32	right	0	0.154	O2,o2	Exp - Easy 2 & Hard 2	
33	left	0	0.174	B1,O1	Exp - Easy 1 & Easy 1	
34	right	0	0.090	O2,o2	Exp - Easy 2 & Hard 2	
35	left	0	0.104	O1,O1	Exp - Easy 1 & Easy 1	
36	right	0	0.089	O2,o2	Exp - Easy 2 & Hard 2	
37	left	0	0.121	b2,O2	Con - Hard 2 & Easy 2	
38	right	1	0.103	o1,o1	Exp - Hard 1 & Hard 1	
39	left	0	0.138	b2,O2	Con - Hard 2 & Easy 2	
40	right	0	0.238	b2,O2	Con - Hard 2 & Easy 2	
41	left	0	0.222	O1,b1	Con - Easy 1 & Hard 1	
42	right	0	0.221	o2,O2	Con - Hard 2 & Easy 2	
43	left	0	0.089	O1,o1	Con - Easy 1 & Hard 1	
44	right	0	0.090	O2,o2	Exp - Easy 2 & Hard 2	
45	left	1	0.137	O2,O2	Exp - Easy 2 & Easy 2	
46	right	0	0.136	O1,o1	Con - Easy 1 & Hard 1	
47	left	0	0.175	b1,O1	Con - Hard 1 & Easy 1	
48	right	0	0.069	b1,O1	Con - Hard 1 & Easy 1	
49	left	0	0.173	o2,O2	Con - Hard 2 & Easy 2	
50	right	1	0.188	B1,O1	Exp - Easy 1 & Easy 1	
51	left	0	0.176	O1,O1	Exp - Easy 1 & Easy 1	
52	left	0	0.273	o1,O1	Con - Hard 1 & Easy 1	
53	left	0	0.173	O1,b1	Con - Easy 1 & Hard 1	
54	left	0	0.555	o1,o1	Exp - Hard 1 & Hard 1	
55	right	0	0.205	O2,b2	Con - Easy 2 & Hard 2	
56	right	0	0.071	o1,O1	Con - Hard 1 & Easy 1	
57	left	0	0.136	B1,O1	Exp - Easy 1 & Easy 1	
58	right	0	0.155	o2,O2	Con - Hard 2 & Easy 2	
59	left	0	0.072	O1,o1	Con - Easy 1 & Hard 1	
60	right	0	0.321	O2,O2	Exp - Easy 2 & Easy 2	
61	left	1	0.106	B2,O2	Exp - Easy 2 & Easy 2	
62	right	0	0.020	O1,o1	Con - Easy 1 & Hard 1	
63	left	1	0.106	B2,O2	Exp - Easy 2 & Easy 2	
64	right	0	0.121	o2,O2	Con - Hard 2 & Easy 2	
65	left	0	0.119	o1,o1	Exp - Hard 1 & Hard 1	
66	right	0	0.105	B2,O2	Exp - Easy 2 & Easy 2	
67	left	0	0.020	O1,b1	Con - Easy 1 & Hard 1	
68	right	0	0.054	o2,O2	Con - Hard 2 & Easy 2	
69	left	1	0.153	O2,O2	Exp - Easy 2 & Easy 2	
70	right	0	0.154	o2,O2	Con - Hard 2 & Easy 2	
71	left	0	0.137	o1,O1	Con - Hard 1 & Easy 1	
72	right	1	0.070	b1,o1	Exp - Hard 1 & Hard 1	
73	left	0	0.172	b2,O2	Con - Hard 2 & Easy 2	
74	right	0	0.191	O2,O2	Exp - Easy 2 & Easy 2	
75	left	0	0.191	O1,O1	Exp - Easy 1 & Easy 1	
76	right	1	0.171	b1,o1	Exp - Hard 1 & Hard 1	
77	left	0	0.153	o1,O1	Con - Hard 1 & Easy 1	
78	right	0	0.119	O2,b2	Con - Easy 2 & Hard 2	
79	left	0	0.191	O1,O1	Exp - Easy 1 & Easy 1	
80	right	0	0.108	O1,o1	Con - Easy 1 & Hard 1	
81	left	1	0.037	o2,o2	Exp - Hard 2 & Hard 2	
82	right	0	0.038	o2,o2	Exp - Hard 2 & Hard 2	
83	left	0	0.071	O1,b1	Con - Easy 1 & Hard 1	
84	right	0	0.204	O1,b1	Con - Easy 1 & Hard 1	
85	left	0	0.155	o1,o1	Exp - Hard 1 & Hard 1	
86	right	0	0.154	b2,O2	Con - Hard 2 & Easy 2	
87	left	0	0.071	o1,o1	Exp - Hard 1 & Hard 1	
88	right	0	0.055	o2,o2	Exp - Hard 2 & Hard 2	
89	left	1	0.055	B2,O2	Exp - Easy 2 & Easy 2	
90	right	0	0.123	B2,O2	Exp - Easy 2 & Easy 2	
91	left	0	0.072	B1,O1	Exp - Easy 1 & Easy 1	
92	right	0	0.188	b2,O2	Con - Hard 2 & Easy 2	
93	left	0	0.054	o1,O1	Con - Hard 1 & Easy 1	
94	right	0	0.038	B2,O2	Exp - Easy 2 & Easy 2	
95	left	0	0.106	O1,b1	Con - Easy 1 & Hard 1	
96	right	0	0.371	O2,o2	Exp - Easy 2 & Hard 2	
97	left	1	0.356	O2,O2	Exp - Easy 2 & Easy 2	
98	right	0	0.038	b2,O2	Con - Hard 2 & Easy 2	
99	left	0	0.186	O1,b1	Con - Easy 1 & Hard 1	
100	right	1	0.138	o1,o1	Exp - Hard 1 & Hard 1	
101	left	1	0.423	b2,o2	Exp - Hard 2 & Hard 2	
102	right	0	0.014	O1,o1	Con - Easy 1 & Hard 1	
103	left	0	0.388	o1,O1	Con - Hard 1 & Easy 1	
104	right	0	0.071	o2,O2	Con - Hard 2 & Easy 2	
105	left	0	0.189	O1,O1	Exp - Easy 1 & Easy 1	
106	right	1	0.355	B1,O1	Exp - Easy 1 & Easy 1	
107	left	0	0.190	O1,O1	Exp - Easy 1 & Easy 1	
108	right	1	0.138	o1,o1	Exp - Hard 1 & Hard 1	
109	left	1	0.170	b2,o2	Exp - Hard 2 & Hard 2	
110	right	0	0.188	o2,O2	Con - Hard 2 & Easy 2	
111	left	0	0.588	O1,o1	Con - Easy 1 & Hard 1	
112	right	0	0.537	B2,O2	Exp - Easy 2 & Easy 2	
113	left	0	0.052	O2,b2	Con - Easy 2 & Hard 2	
114	right	1	0.121	O1,O1	Exp - Easy 1 & Easy 1	
