Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
44	right	0	1.227	b1,b1	Exp - Hard 1 & Hard 1	
45	right	1	0.879	o1,B1	Con - Hard 1 & Easy 1	
46	right	1	1.280	o1,B1	Con - Hard 1 & Easy 1	
47	right	1	0.901	B1,o1	Con - Easy 1 & Hard 1	
48	left	1	1.047	B1,B1	Exp - Easy 1 & Easy 1	
49	right	1	1.007	o1,B1	Con - Hard 1 & Easy 1	
50	right	1	2.676	o1,B1	Con - Hard 1 & Easy 1	
51	right	1	2.564	b1,o1	Con - Easy 1 & Hard 1	
52	left	0	0.775	B1,o1	Con - Easy 1 & Hard 1	
53	left	0	4.029	o1,b1	Exp - Hard 1 & Hard 1	
54	left	1	0.661	B1,B1	Exp - Easy 1 & Easy 1	
55	left	1	0.468	B1,b1	Con - Easy 1 & Hard 1	
56	left	0	1.052	B1,o1	Con - Easy 1 & Hard 1	
57	right	1	0.608	O1,B1	Exp - Easy 1 & Easy 1	
58	right	1	0.817	o1,b1	Exp - Hard 1 & Hard 1	
59	right	1	1.079	o1,B1	Con - Hard 1 & Easy 1	
60	left	1	1.556	b1,B1	Con - Hard 1 & Easy 1	
61	right	0	0.761	b1,b1	Exp - Hard 1 & Hard 1	
62	right	1	0.721	O1,B1	Exp - Easy 1 & Easy 1	
63	right	0	0.854	b1,b1	Exp - Hard 1 & Hard 1	
64	right	0	4.036	b1,B1	Con - Hard 1 & Easy 1	
65	right	1	1.155	o1,b1	Exp - Hard 1 & Hard 1	
66	right	1	4.067	o1,B1	Con - Hard 1 & Easy 1	
67	right	1	1.112	o1,B1	Con - Hard 1 & Easy 1	
68	right	1	2.606	B1,o1	Con - Easy 1 & Hard 1	
69	right	1	0.679	O1,B1	Exp - Easy 1 & Easy 1	
70	right	0	1.774	b1,B1	Con - Hard 1 & Easy 1	
71	right	1	1.027	B1,o1	Con - Easy 1 & Hard 1	
72	left	1	2.034	b1,B1	Con - Hard 1 & Easy 1	
73	left	1	1.333	b1,B1	Con - Hard 1 & Easy 1	
74	left	1	0.451	B1,B1	Exp - Easy 1 & Easy 1	
75	left	1	0.706	b1,b1	Exp - Hard 1 & Hard 1	
76	right	1	0.586	b1,o1	Con - Easy 1 & Hard 1	
77	right	0	2.713	B1,b1	Con - Easy 1 & Hard 1	
78	left	1	0.597	B1,B1	Exp - Easy 1 & Easy 1	
79	right	1	1.623	B1,o1	Con - Easy 1 & Hard 1	
80	right	0	1.550	b1,B1	Con - Hard 1 & Easy 1	
81	left	1	0.639	B1,B1	Exp - Easy 1 & Easy 1	
82	right	0	1.150	b1,B1	Con - Hard 1 & Easy 1	
83	left	1	0.595	B1,B1	Exp - Easy 1 & Easy 1	
84	right	1	1.860	O1,B1	Exp - Easy 1 & Easy 1	
85	right	1	0.619	b1,o1	Con - Easy 1 & Hard 1	
86	left	1	0.863	B1,b1	Con - Easy 1 & Hard 1	
87	left	1	3.922	b1,B1	Con - Hard 1 & Easy 1	
88	right	1	0.558	O1,B1	Exp - Easy 1 & Easy 1	
89	right	1	0.564	O1,B1	Exp - Easy 1 & Easy 1	
90	right	1	0.983	B1,o1	Con - Easy 1 & Hard 1	
91	right	1	0.923	o1,b1	Exp - Hard 1 & Hard 1	
92	right	0	4.672	b1,b1	Exp - Hard 1 & Hard 1	
93	right	0	1.395	b1,b1	Exp - Hard 1 & Hard 1	
94	left	0	0.788	B1,o1	Con - Easy 1 & Hard 1	
95	right	0	1.792	B1,b1	Con - Easy 1 & Hard 1	
96	left	1	1.084	B1,B1	Exp - Easy 1 & Easy 1	
97	left	1	0.674	b1,B1	Con - Hard 1 & Easy 1	
98	left	1	0.944	B1,B1	Exp - Easy 1 & Easy 1	
99	right	1	0.914	o1,B1	Con - Hard 1 & Easy 1	
100	left	1	0.949	B1,B1	Exp - Easy 1 & Easy 1	
101	right	0	2.931	B1,b1	Con - Easy 1 & Hard 1	
102	right	1	1.179	O1,B1	Exp - Easy 1 & Easy 1	
103	left	1	5.960	B1,b1	Con - Easy 1 & Hard 1	
104	left	1	1.111	B1,b1	Con - Easy 1 & Hard 1	
105	right	1	1.204	o1,B1	Con - Hard 1 & Easy 1	
106	left	1	0.808	b1,B1	Con - Hard 1 & Easy 1	
107	left	1	5.981	b1,b1	Exp - Hard 1 & Hard 1	
108	left	1	0.690	B1,B1	Exp - Easy 1 & Easy 1	
109	left	0	0.456	B1,o1	Con - Easy 1 & Hard 1	
110	right	0	1.307	b1,b1	Exp - Hard 1 & Hard 1	
111	left	1	1.085	b1,B1	Con - Hard 1 & Easy 1	
112	right	0	0.887	B1,b1	Con - Easy 1 & Hard 1	
113	right	1	1.465	o1,B1	Con - Hard 1 & Easy 1	
114	right	1	0.713	O1,B1	Exp - Easy 1 & Easy 1	
115	right	0	0.621	B1,b1	Con - Easy 1 & Hard 1	
116	left	1	0.481	B1,B1	Exp - Easy 1 & Easy 1	
117	right	1	1.516	o1,B1	Con - Hard 1 & Easy 1	
118	left	1	0.602	B1,B1	Exp - Easy 1 & Easy 1	
119	right	1	0.778	o1,b1	Exp - Hard 1 & Hard 1	
120	left	1	0.632	B1,B1	Exp - Easy 1 & Easy 1	
121	left	1	1.277	b1,B1	Con - Hard 1 & Easy 1	
122	left	1	3.765	b1,B1	Con - Hard 1 & Easy 1	
123	right	1	0.673	O1,B1	Exp - Easy 1 & Easy 1	
124	right	0	2.882	b1,B1	Con - Hard 1 & Easy 1	
125	right	1	1.255	B1,o1	Con - Easy 1 & Hard 1	
126	left	1	0.785	b1,B1	Con - Hard 1 & Easy 1	
127	right	1	0.700	b1,o1	Con - Easy 1 & Hard 1	
128	right	0	4.549	b1,B1	Con - Hard 1 & Easy 1	
129	right	1	1.958	B1,o1	Con - Easy 1 & Hard 1	
130	right	0	0.829	B1,b1	Con - Easy 1 & Hard 1	
131	left	1	0.588	B1,B1	Exp - Easy 1 & Easy 1	
132	right	1	0.625	O1,B1	Exp - Easy 1 & Easy 1	
133	right	1	0.852	O1,B1	Exp - Easy 1 & Easy 1	
134	right	0	1.195	b1,b1	Exp - Hard 1 & Hard 1	
135	left	1	1.187	b1,b1	Exp - Hard 1 & Hard 1	
136	left	1	0.588	B1,b1	Con - Easy 1 & Hard 1	
137	right	1	0.892	O1,B1	Exp - Easy 1 & Easy 1	
138	right	1	1.053	B1,o1	Con - Easy 1 & Hard 1	
139	right	0	0.673	b1,B1	Con - Hard 1 & Easy 1	
140	right	1	2.653	o1,B1	Con - Hard 1 & Easy 1	
