Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
166	right	1	1.114	B1,o1	Con - Easy 1 & Hard 1	
167	right	0	0.746	b2,b2	Exp - Hard 2 & Hard 2	
168	left	1	3.904	B2,b2	Con - Easy 2 & Hard 2	
169	left	1	0.781	B1,B1	Exp - Easy 1 & Easy 1	
170	left	1	0.885	b1,b1	Exp - Hard 1 & Hard 1	
171	right	1	1.580	o2,B2	Con - Hard 2 & Easy 2	
172	left	1	1.299	B1,B1	Exp - Easy 1 & Easy 1	
173	right	1	0.751	O2,B2	Exp - Easy 2 & Easy 2	
174	right	1	0.714	o1,b1	Exp - Hard 1 & Hard 1	
175	right	1	1.780	o1,b1	Exp - Hard 1 & Hard 1	
176	right	1	1.004	o2,B2	Con - Hard 2 & Easy 2	
177	right	1	0.734	o1,B1	Con - Hard 1 & Easy 1	
178	left	1	0.875	B1,B1	Exp - Easy 1 & Easy 1	
179	right	1	0.675	o2,b2	Exp - Hard 2 & Hard 2	
180	left	1	1.440	B1,b1	Con - Easy 1 & Hard 1	
181	right	1	0.757	O2,B2	Exp - Easy 2 & Easy 2	
182	left	1	0.901	b2,B2	Con - Hard 2 & Easy 2	
183	right	1	0.780	o1,B1	Con - Hard 1 & Easy 1	
184	right	1	0.797	o2,b2	Exp - Hard 2 & Hard 2	
185	left	0	0.603	B2,o2	Con - Easy 2 & Hard 2	
186	left	1	0.828	B1,B1	Exp - Easy 1 & Easy 1	
187	left	1	0.931	B1,b1	Con - Easy 1 & Hard 1	
188	right	1	0.674	O1,B1	Exp - Easy 1 & Easy 1	
189	right	0	1.820	B1,b1	Con - Easy 1 & Hard 1	
190	left	1	2.737	b2,B2	Con - Hard 2 & Easy 2	
191	left	1	0.749	B1,b1	Con - Easy 1 & Hard 1	
192	left	0	1.231	o2,b2	Exp - Hard 2 & Hard 2	
193	left	1	0.715	B2,b2	Con - Easy 2 & Hard 2	
194	left	1	0.696	b2,B2	Con - Hard 2 & Easy 2	
195	left	0	0.713	o1,B1	Con - Hard 1 & Easy 1	
196	right	1	0.979	O2,B2	Exp - Easy 2 & Easy 2	
197	left	1	1.049	b1,b1	Exp - Hard 1 & Hard 1	
198	left	1	0.803	b1,B1	Con - Hard 1 & Easy 1	
199	left	0	1.376	o2,B2	Con - Hard 2 & Easy 2	
200	left	1	1.755	B1,B1	Exp - Easy 1 & Easy 1	
201	left	1	1.422	B1,B1	Exp - Easy 1 & Easy 1	
202	right	1	0.838	o2,b2	Exp - Hard 2 & Hard 2	
203	right	1	1.555	o1,b1	Exp - Hard 1 & Hard 1	
204	left	1	0.730	B1,b1	Con - Easy 1 & Hard 1	
205	left	1	0.615	B1,B1	Exp - Easy 1 & Easy 1	
206	right	1	2.275	B2,o2	Con - Easy 2 & Hard 2	
207	left	1	1.313	B2,b2	Con - Easy 2 & Hard 2	
208	right	1	0.719	B2,o2	Con - Easy 2 & Hard 2	
1	right	0	2.261	o,b	Exp - Hard 1	2	
2	right	1	6.511	b,o	Exp - Hard 2	2	
3	right	0	1.253	o,b	Exp - Hard 2	2	
4	right	0	5.469	O,b	Con - Easy 1	2	
5	left	1	1.910	O,b	Con - Easy 2	2	
6	right	1	2.496	b,o	Exp - Hard 2	2	
7	right	0	0.862	o,b	Exp - Hard 1	2	
8	right	1	3.604	b,o	Exp - Hard 2	2	
9	left	1	1.501	o,b	Exp - Hard 2	2	
