Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
27	right	1	1.204	O1,B1	Exp - Easy 1 & Easy 1	
28	right	1	1.237	O1,B1	Exp - Easy 1 & Easy 1	
29	left	1	1.749	B1,b1	Con - Easy 1 & Hard 1	
30	left	1	0.796	B1,B1	Exp - Easy 1 & Easy 1	
31	left	1	1.035	B1,B1	Exp - Easy 1 & Easy 1	
32	left	1	2.023	B1,b1	Con - Easy 1 & Hard 1	
33	left	0	2.352	o1,b1	Exp - Hard 1 & Hard 1	
34	right	1	0.848	O1,B1	Exp - Easy 1 & Easy 1	
35	right	1	0.876	B1,o1	Con - Easy 1 & Hard 1	
36	right	1	0.675	O1,B1	Exp - Easy 1 & Easy 1	
37	left	1	1.436	b1,B1	Con - Hard 1 & Easy 1	
38	right	1	1.285	o1,B1	Con - Hard 1 & Easy 1	
39	right	1	1.068	o1,B1	Con - Hard 1 & Easy 1	
40	right	0	1.526	b1,b1	Exp - Hard 1 & Hard 1	
41	left	1	1.037	B1,B1	Exp - Easy 1 & Easy 1	
42	left	1	2.724	b1,b1	Exp - Hard 1 & Hard 1	
43	left	1	1.506	B1,b1	Con - Easy 1 & Hard 1	
44	right	1	1.652	o1,b1	Exp - Hard 1 & Hard 1	
45	right	1	1.068	O1,B1	Exp - Easy 1 & Easy 1	
46	right	1	1.262	o1,b1	Exp - Hard 1 & Hard 1	
47	left	1	0.688	B1,B1	Exp - Easy 1 & Easy 1	
48	right	1	1.469	o1,b1	Exp - Hard 1 & Hard 1	
49	right	0	1.453	B1,b1	Con - Easy 1 & Hard 1	
50	right	1	1.364	B1,o1	Con - Easy 1 & Hard 1	
51	left	1	0.751	B1,b1	Con - Easy 1 & Hard 1	
52	right	1	1.362	o1,b1	Exp - Hard 1 & Hard 1	
53	right	1	1.348	B1,o1	Con - Easy 1 & Hard 1	
54	left	1	2.042	B1,b1	Con - Easy 1 & Hard 1	
55	right	1	1.828	o1,B1	Con - Hard 1 & Easy 1	
56	right	1	1.440	B1,o1	Con - Easy 1 & Hard 1	
57	right	1	2.119	o1,B1	Con - Hard 1 & Easy 1	
58	right	1	0.846	O1,B1	Exp - Easy 1 & Easy 1	
59	left	1	1.161	b1,B1	Con - Hard 1 & Easy 1	
60	right	1	2.173	o1,B1	Con - Hard 1 & Easy 1	
61	right	1	3.377	o1,b1	Exp - Hard 1 & Hard 1	
62	right	1	1.982	B1,o1	Con - Easy 1 & Hard 1	
63	left	1	1.137	b1,B1	Con - Hard 1 & Easy 1	
64	right	1	2.615	o1,B1	Con - Hard 1 & Easy 1	
65	left	1	0.733	B1,B1	Exp - Easy 1 & Easy 1	
66	right	0	1.775	b1,b1	Exp - Hard 1 & Hard 1	
67	right	1	0.863	O1,B1	Exp - Easy 1 & Easy 1	
68	left	1	1.079	B1,B1	Exp - Easy 1 & Easy 1	
69	left	1	1.097	B1,B1	Exp - Easy 1 & Easy 1	
70	right	1	1.607	B1,o1	Con - Easy 1 & Hard 1	
71	left	1	1.401	B1,B1	Exp - Easy 1 & Easy 1	
72	right	1	2.531	o1,B1	Con - Hard 1 & Easy 1	
73	left	1	3.310	b1,b1	Exp - Hard 1 & Hard 1	
74	right	0	1.711	b1,B1	Con - Hard 1 & Easy 1	
75	right	1	1.527	B1,o1	Con - Easy 1 & Hard 1	
76	right	1	1.312	o1,B1	Con - Hard 1 & Easy 1	
77	right	0	2.634	b1,b1	Exp - Hard 1 & Hard 1	
78	right	1	0.981	B1,o1	Con - Easy 1 & Hard 1	
79	left	1	1.255	b1,B1	Con - Hard 1 & Easy 1	
80	right	1	1.102	B1,o1	Con - Easy 1 & Hard 1	
81	right	1	0.961	O1,B1	Exp - Easy 1 & Easy 1	
82	left	1	2.178	b1,B1	Con - Hard 1 & Easy 1	
83	right	1	1.025	o1,B1	Con - Hard 1 & Easy 1	
84	right	1	0.986	O1,B1	Exp - Easy 1 & Easy 1	
85	left	1	1.637	b1,b1	Exp - Hard 1 & Hard 1	
86	left	0	1.843	o1,B1	Con - Hard 1 & Easy 1	
87	left	1	1.154	b1,B1	Con - Hard 1 & Easy 1	
88	right	1	0.983	O1,B1	Exp - Easy 1 & Easy 1	
