Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
195	right	1	0.455	b1,o1	Exp - Hard 1 & Hard 1	
196	right	0	0.456	o1,O1	Con - Hard 1 & Easy 1	
197	right	1	0.373	b1,O1	Con - Hard 1 & Easy 1	
198	right	1	0.288	B1,O1	Exp - Easy 1 & Easy 1	
199	right	0	0.273	O1,O1	Exp - Easy 1 & Easy 1	
200	right	1	0.270	O1,b1	Con - Easy 1 & Hard 1	
1	left	1	0.691	b,o	Exp - Hard 1	1	
2	right	0	0.225	b,o	Exp - Hard 1	1	
3	left	1	0.255	B,o	Con - Easy 1	1	
4	right	1	0.259	o,b	Exp - Hard 1	1	
5	left	1	0.424	B,o	Con - Easy 1	1	
6	left	0	0.305	O,b	Con - Easy 1	1	
7	right	0	0.260	B,o	Con - Easy 1	1	
8	left	0	0.405	O,b	Con - Easy 1	1	
9	left	0	0.443	o,b	Exp - Hard 1	1	
10	left	0	0.138	o,b	Exp - Hard 1	1	
11	right	1	0.322	o,b	Exp - Hard 1	1	
12	right	0	0.251	b,o	Exp - Hard 1	1	
13	left	1	0.390	b,o	Exp - Hard 1	1	
14	left	1	0.608	b,o	Exp - Hard 1	1	
15	left	0	0.420	O,b	Con - Easy 1	1	
16	left	1	0.287	B,o	Con - Easy 1	1	
17	right	0	0.753	b,o	Exp - Hard 1	1	
18	left	1	0.459	B,o	Con - Easy 1	1	
19	right	1	0.357	O,b	Con - Easy 1	1	
20	left	0	0.290	o,b	Exp - Hard 1	1	
21	right	1	0.306	O,b	Con - Easy 1	1	
22	left	0	0.637	o,b	Exp - Hard 1	1	
23	left	0	0.340	o,b	Exp - Hard 1	1	
24	right	0	0.288	b,o	Exp - Hard 1	1	
25	left	1	0.272	B,o	Con - Easy 1	1	
26	right	1	0.323	o,b	Exp - Hard 1	1	
27	left	1	1.238	b,o	Exp - Hard 1	1	
28	left	0	5.535	O,b	Con - Easy 1	1	
29	left	1	3.036	b,o	Exp - Hard 1	1	
30	left	0	3.423	o,b	Exp - Hard 1	1	
31	left	1	0.508	B,o	Con - Easy 1	1	
32	left	1	0.573	b,o	Exp - Hard 1	1	
33	left	0	2.623	O,b	Con - Easy 1	1	
34	left	1	2.173	B,o	Con - Easy 1	1	
35	left	0	2.841	O,b	Con - Easy 1	1	
36	left	0	0.246	o,b	Exp - Hard 1	1	
37	left	1	3.907	B,o	Con - Easy 1	1	
38	left	0	2.926	O,b	Con - Easy 1	1	
39	left	0	2.622	O,b	Con - Easy 1	1	
40	left	1	0.254	B,o	Con - Easy 1	1	
1	left	0	0.687	B1,o1	Con - Easy 1 & Hard 1	
2	left	0	0.274	O1,B1	Exp - Easy 1 & Easy 1	
3	left	1	0.260	B1,B1	Exp - Easy 1 & Easy 1	
4	left	0	0.322	B1,o1	Con - Easy 1 & Hard 1	
5	left	1	0.013	b1,B1	Con - Hard 1 & Easy 1	
6	left	1	0.178	B1,B1	Exp - Easy 1 & Easy 1	
7	left	1	8.041	b1,b1	Exp - Hard 1 & Hard 1	
8	left	0	0.989	o1,b1	Exp - Hard 1 & Hard 1	
9	left	1	0.155	B1,b1	Con - Easy 1 & Hard 1	
10	left	1	2.690	b1,B1	Con - Hard 1 & Easy 1	
11	left	1	0.289	B1,b1	Con - Easy 1 & Hard 1	
12	left	1	0.510	b1,b1	Exp - Hard 1 & Hard 1	
13	left	1	1.759	B1,b1	Con - Easy 1 & Hard 1	
14	left	0	0.773	o1,b1	Exp - Hard 1 & Hard 1	
15	left	1	3.108	b1,b1	Exp - Hard 1 & Hard 1	
16	left	0	0.041	O1,B1	Exp - Easy 1 & Easy 1	
17	left	1	0.722	B1,b1	Con - Easy 1 & Hard 1	
18	left	0	0.427	B1,o1	Con - Easy 1 & Hard 1	
19	left	1	0.239	b1,B1	Con - Hard 1 & Easy 1	
20	left	1	0.678	b1,B1	Con - Hard 1 & Easy 1	
21	left	1	0.122	B1,b1	Con - Easy 1 & Hard 1	
22	left	0	3.475	O1,B1	Exp - Easy 1 & Easy 1	
23	left	0	0.374	O1,B1	Exp - Easy 1 & Easy 1	
24	left	0	1.140	o1,b1	Exp - Hard 1 & Hard 1	
25	left	0	0.706	O1,B1	Exp - Easy 1 & Easy 1	
26	left	1	1.891	b1,b1	Exp - Hard 1 & Hard 1	
27	left	0	2.762	B1,o1	Con - Easy 1 & Hard 1	
28	left	0	1.058	o1,b1	Exp - Hard 1 & Hard 1	
29	left	0	0.389	o1,b1	Exp - Hard 1 & Hard 1	
30	left	1	0.323	B1,B1	Exp - Easy 1 & Easy 1	
31	left	1	1.346	B1,b1	Con - Easy 1 & Hard 1	
32	left	0	0.443	O1,B1	Exp - Easy 1 & Easy 1	
33	left	1	0.122	B1,B1	Exp - Easy 1 & Easy 1	
34	left	1	0.156	b1,b1	Exp - Hard 1 & Hard 1	
35	left	1	0.739	b1,B1	Con - Hard 1 & Easy 1	
36	left	1	1.528	B1,b1	Con - Easy 1 & Hard 1	
37	left	0	0.389	o1,B1	Con - Hard 1 & Easy 1	
38	left	0	0.291	o1,B1	Con - Hard 1 & Easy 1	
39	left	0	0.608	o1,B1	Con - Hard 1 & Easy 1	
40	left	1	1.057	b1,B1	Con - Hard 1 & Easy 1	
41	left	1	1.718	B1,b1	Con - Easy 1 & Hard 1	
42	left	1	0.359	b1,b1	Exp - Hard 1 & Hard 1	
43	left	0	0.873	O1,B1	Exp - Easy 1 & Easy 1	
44	left	1	0.139	b1,b1	Exp - Hard 1 & Hard 1	
45	left	0	0.122	o1,B1	Con - Hard 1 & Easy 1	
46	left	0	0.158	O1,B1	Exp - Easy 1 & Easy 1	
47	left	1	0.395	b1,B1	Con - Hard 1 & Easy 1	
48	left	0	1.373	O1,B1	Exp - Easy 1 & Easy 1	
49	left	0	1.156	o1,B1	Con - Hard 1 & Easy 1	
50	left	0	1.609	o1,B1	Con - Hard 1 & Easy 1	
51	left	0	1.812	o1,B1	Con - Hard 1 & Easy 1	
52	left	0	1.876	O1,B1	Exp - Easy 1 & Easy 1	
53	left	0	1.423	O1,B1	Exp - Easy 1 & Easy 1	
54	left	1	0.257	b1,B1	Con - Hard 1 & Easy 1	
55	left	1	0.424	b1,B1	Con - Hard 1 & Easy 1	
56	left	0	0.373	o1,b1	Exp - Hard 1 & Hard 1	
57	left	0	0.240	B1,o1	Con - Easy 1 & Hard 1	
58	left	0	1.724	B1,o1	Con - Easy 1 & Hard 1	
59	left	1	0.406	b1,b1	Exp - Hard 1 & Hard 1	
60	left	1	1.066	b1,B1	Con - Hard 1 & Easy 1	
61	right	0	0.409	b1,b1	Exp - Hard 1 & Hard 1	
62	right	1	0.292	B1,o1	Con - Easy 1 & Hard 1	
63	right	0	1.841	B1,B1	Exp - Easy 1 & Easy 1	
64	right	1	0.124	B1,o1	Con - Easy 1 & Hard 1	
65	right	0	0.891	B1,b1	Con - Easy 1 & Hard 1	
66	right	1	1.693	O1,B1	Exp - Easy 1 & Easy 1	
67	right	1	1.320	O1,B1	Exp - Easy 1 & Easy 1	
68	right	1	0.213	o1,b1	Exp - Hard 1 & Hard 1	
69	right	0	2.221	B1,B1	Exp - Easy 1 & Easy 1	
70	right	1	0.211	B1,o1	Con - Easy 1 & Hard 1	
71	right	1	0.052	o1,B1	Con - Hard 1 & Easy 1	
72	right	1	1.480	o1,B1	Con - Hard 1 & Easy 1	
73	right	0	2.468	b1,b1	Exp - Hard 1 & Hard 1	
74	right	0	1.547	B1,B1	Exp - Easy 1 & Easy 1	
75	right	0	0.104	b1,b1	Exp - Hard 1 & Hard 1	
76	right	1	0.652	O1,B1	Exp - Easy 1 & Easy 1	
77	right	0	0.881	b1,b1	Exp - Hard 1 & Hard 1	
78	right	0	0.252	B1,b1	Con - Easy 1 & Hard 1	
79	right	0	0.476	b1,b1	Exp - Hard 1 & Hard 1	
80	right	1	1.498	o1,b1	Exp - Hard 1 & Hard 1	
81	right	1	0.452	o1,b1	Exp - Hard 1 & Hard 1	
82	right	0	0.014	B1,B1	Exp - Easy 1 & Easy 1	
83	right	0	0.363	b1,B1	Con - Hard 1 & Easy 1	
84	right	0	0.498	B1,B1	Exp - Easy 1 & Easy 1	
85	right	1	0.218	o1,b1	Exp - Hard 1 & Hard 1	
86	right	0	0.298	b1,b1	Exp - Hard 1 & Hard 1	
87	right	1	0.467	o1,b1	Exp - Hard 1 & Hard 1	
88	right	0	0.315	B1,b1	Con - Easy 1 & Hard 1	
89	right	1	0.375	o1,b1	Exp - Hard 1 & Hard 1	
90	right	1	0.105	o1,B1	Con - Hard 1 & Easy 1	
91	right	1	0.105	B1,o1	Con - Easy 1 & Hard 1	
92	right	0	3.028	B1,b1	Con - Easy 1 & Hard 1	
93	right	0	0.270	b1,B1	Con - Hard 1 & Easy 1	
94	right	1	0.409	o1,b1	Exp - Hard 1 & Hard 1	
95	right	0	0.223	B1,b1	Con - Easy 1 & Hard 1	
96	right	1	0.065	B1,o1	Con - Easy 1 & Hard 1	
97	right	1	1.491	O1,B1	Exp - Easy 1 & Easy 1	
98	right	0	3.521	b1,B1	Con - Hard 1 & Easy 1	
99	right	0	1.678	b1,b1	Exp - Hard 1 & Hard 1	
100	right	0	2.607	B1,B1	Exp - Easy 1 & Easy 1	
101	right	0	1.158	B1,b1	Con - Easy 1 & Hard 1	
102	right	0	1.224	B1,b1	Con - Easy 1 & Hard 1	
103	right	1	0.513	o1,b1	Exp - Hard 1 & Hard 1	
104	right	0	0.261	B1,B1	Exp - Easy 1 & Easy 1	
105	right	0	1.356	B1,B1	Exp - Easy 1 & Easy 1	
106	right	0	1.543	b1,B1	Con - Hard 1 & Easy 1	
107	right	1	0.741	O1,B1	Exp - Easy 1 & Easy 1	
108	right	0	2.992	B1,b1	Con - Easy 1 & Hard 1	
109	right	1	6.491	O1,B1	Exp - Easy 1 & Easy 1	
110	right	0	2.847	b1,b1	Exp - Hard 1 & Hard 1	
111	right	1	0.357	o1,B1	Con - Hard 1 & Easy 1	
112	right	0	0.262	B1,b1	Con - Easy 1 & Hard 1	
113	right	1	0.188	o1,B1	Con - Hard 1 & Easy 1	
114	right	0	4.039	B1,B1	Exp - Easy 1 & Easy 1	
115	right	1	0.180	o1,B1	Con - Hard 1 & Easy 1	
116	right	0	0.241	B1,B1	Exp - Easy 1 & Easy 1	
117	right	0	1.347	B1,b1	Con - Easy 1 & Hard 1	
118	right	1	0.106	B1,o1	Con - Easy 1 & Hard 1	
119	right	0	0.408	b1,b1	Exp - Hard 1 & Hard 1	
120	right	1	2.309	o1,b1	Exp - Hard 1 & Hard 1	
121	right	0	1.460	B1,B1	Exp - Easy 1 & Easy 1	
122	right	1	0.508	O1,B1	Exp - Easy 1 & Easy 1	
123	right	0	0.125	b1,B1	Con - Hard 1 & Easy 1	
124	right	1	0.041	o1,b1	Exp - Hard 1 & Hard 1	
125	right	1	3.270	o1,B1	Con - Hard 1 & Easy 1	
126	right	1	0.627	o1,B1	Con - Hard 1 & Easy 1	
127	right	1	2.259	B1,o1	Con - Easy 1 & Hard 1	
128	right	1	0.326	o1,b1	Exp - Hard 1 & Hard 1	
129	right	0	2.447	b1,B1	Con - Hard 1 & Easy 1	
130	right	0	1.954	B1,b1	Con - Easy 1 & Hard 1	
131	right	0	0.143	B1,B1	Exp - Easy 1 & Easy 1	
132	right	0	5.443	B1,B1	Exp - Easy 1 & Easy 1	
133	right	1	1.308	B1,o1	Con - Easy 1 & Hard 1	
134	right	1	0.112	B1,o1	Con - Easy 1 & Hard 1	
135	right	1	0.258	B1,o1	Con - Easy 1 & Hard 1	
136	right	0	0.308	b1,B1	Con - Hard 1 & Easy 1	
137	right	1	0.241	B1,o1	Con - Easy 1 & Hard 1	
138	right	0	0.265	b1,b1	Exp - Hard 1 & Hard 1	
139	right	0	0.142	b1,B1	Con - Hard 1 & Easy 1	
140	right	1	0.777	O1,B1	Exp - Easy 1 & Easy 1	
141	right	0	0.108	B1,B1	Exp - Easy 1 & Easy 1	
142	right	1	0.770	o1,b1	Exp - Hard 1 & Hard 1	
143	right	0	0.424	b1,b1	Exp - Hard 1 & Hard 1	
144	right	0	1.747	B1,b1	Con - Easy 1 & Hard 1	
145	right	1	2.540	B1,o1	Con - Easy 1 & Hard 1	
146	right	1	1.327	O1,B1	Exp - Easy 1 & Easy 1	
147	right	0	0.592	B1,B1	Exp - Easy 1 & Easy 1	
148	right	1	0.112	o1,b1	Exp - Hard 1 & Hard 1	
